severity,brand,name,count,checked_url,first_hop_code,first_hop_xrb,final_url,expected
HIGH,8in1,8IN1,21,/8in1,301,WordPress,/product/8in1-delights-pro-dental-xs-kaulas-mazu-veisliu-sunims-7-vnt/,/gamintojas/8in1/
HIGH,8in1,8IN1,21,/8in1/,301,WordPress,/product/8in1-delights-pro-dental-xs-kaulas-mazu-veisliu-sunims-7-vnt/,/gamintojas/8in1/
HIGH,ambrosia,Ambrosia,15,/ambrosia,301,WordPress,/product/ambrosia-begrudis-su-eriena-ir-sviezia-elniena-sausas-maistas-sunims-grain-free-lamb-fresh-venison-12-kg/,/gamintojas/ambrosia/
HIGH,ambrosia,Ambrosia,15,/ambrosia/,301,WordPress,/product/ambrosia-begrudis-su-eriena-ir-sviezia-elniena-sausas-maistas-sunims-grain-free-lamb-fresh-venison-12-kg/,/gamintojas/ambrosia/
HIGH,animonda,Animonda,64,/animonda,301,WordPress,/product/animonda-carny-adult-beef-chicken-duck-heart-konservai-katems-su-sviezia-jautiena-vistiena-ir-anciu-sirdelemis-400-g/,/gamintojas/animonda/
HIGH,animonda,Animonda,64,/animonda/,301,WordPress,/product/animonda-carny-adult-beef-chicken-duck-heart-konservai-katems-su-sviezia-jautiena-vistiena-ir-anciu-sirdelemis-400-g/,/gamintojas/animonda/
HIGH,antos,ANTOS,21,/antos,301,WordPress,/product/antos-didelis-arklienos-kaulas-sunims-25kg/,/gamintojas/antos/
HIGH,antos,ANTOS,21,/antos/,301,WordPress,/product/antos-didelis-arklienos-kaulas-sunims-25kg/,/gamintojas/antos/
HIGH,apollo,Apollo,3,/apollo,301,WordPress,/product/apollo-dentinis-lazdeles-vidutiniu-ir-dideliu-veisliu-sunims-180-g/,/gamintojas/apollo/
HIGH,apollo,Apollo,3,/apollo/,301,WordPress,/product/apollo-dentinis-lazdeles-vidutiniu-ir-dideliu-veisliu-sunims-180-g/,/gamintojas/apollo/
HIGH,aquaris,Aquaris,6,/aquaris,301,WordPress,/product/aquaris-goldfish-3-kg-maistas-auksinems-zuvelems-ir-kitoms-tvenkiniu-zuvims/,/gamintojas/aquaris/
HIGH,aquaris,Aquaris,6,/aquaris/,301,WordPress,/product/aquaris-goldfish-3-kg-maistas-auksinems-zuvelems-ir-kitoms-tvenkiniu-zuvims/,/gamintojas/aquaris/
HIGH,bazyl,BAZYL,3,/bazyl,301,WordPress,/product/bazyl-ag-compact-bentonitinis-kraikas-katems/,/gamintojas/bazyl/
HIGH,bazyl,BAZYL,3,/bazyl/,301,WordPress,/product/bazyl-ag-compact-bentonitinis-kraikas-katems/,/gamintojas/bazyl/
HIGH,biokats,Biokat's,1,/biokats,301,WordPress,/product/biokats-eco-light-naturalus-kraikas-8l/,/gamintojas/biokats/
