product_id,sku,sku_missing,product_type,species_scope,matched_category_ids,stock_status,package_term,feeding_table_ids,active_verified_table_ids,active_verified_table_count,feeding_mapping_count,runtime_integrity_status
12452,01A1B01030,0,simple,dog,72,instock,3 kg,160,160,1,1,OK
12453,01A1B02031,0,simple,dog,72,instock,3 kg,159,159,1,1,OK
12454,01A1B09032,0,simple,dog,72,outofstock,"2,5 kg",,,0,0,NO_ACTIVE_VERIFIED
12455,01A1C04030,0,simple,dog,72,instock,12 kg,162,162,1,1,OK
12456,01A1E04030,0,simple,dog,72,instock,12 kg,161,161,1,1,OK
12457,01A1E05030,0,simple,dog,72,instock,12 kg,163,163,1,1,OK
12458,01A1E08030,0,simple,dog,72,instock,"2,5 kg",164,164,1,1,OK
12459,01A1H0105,0,simple,dog,72,instock,"16,5 kg",105,105,1,1,OK
12460,01A1H02030,0,simple,dog,72,outofstock,18 kg,,,0,0,NO_ACTIVE_VERIFIED
12461,01A1H02040,0,simple,dog,72,instock,18 kg,158,,0,1,NO_ACTIVE_VERIFIED
12462,01A1H02050,0,simple,dog,72,instock,18 kg,102,102,1,1,OK
12463,01A1H02080,0,simple,dog,72,outofstock,18 kg,124,124,1,1,OK
12464,01A1H02090,0,simple,dog,72,instock,18 kg,156,156,1,1,OK
12466,01A4A04050,0,simple,dog,72,instock,12 kg,2,2,1,1,OK
12467,01A4A05031,0,simple,dog,72,outofstock,5 kg,,,0,0,NO_ACTIVE_VERIFIED
12468,01A4A05050,0,simple,dog,72,instock,12 kg,157,157,1,1,OK
12469,01A6A01110,0,simple,cat,81,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12470,01A6B0112,0,simple,cat,81,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12471,01A6B0212,0,simple,cat,81,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12472,01A6B03110,0,simple,cat,81,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12473,01A6B05091,0,simple,cat,81,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12482,01OKA0010,0,simple,cat,81,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12483,01OSU0003H,0,simple,dog,72,instock,15 kg,,,0,0,NO_ACTIVE_VERIFIED
12484,01OSU0004H,0,simple,dog,72,instock,15 kg,,,0,0,NO_ACTIVE_VERIFIED
12485,01OSU00070,0,simple,dog,72,instock,15 kg,,,0,0,NO_ACTIVE_VERIFIED
12486,01OSU00080,0,simple,dog,72,instock,15 kg,,,0,0,NO_ACTIVE_VERIFIED
12522,01M002002,0,simple,dog,72,instock,3 kg,154,154,1,1,OK
12525,01M010104,0,simple,dog,72,instock,3 kg,152,152,1,1,OK
12527,01M011102,0,simple,dog,72,instock,3 kg,153,153,1,1,OK
12528,01M011103,0,simple,dog,72,instock,"7,5 kg",153,153,1,1,OK
12531,01M020130,0,simple,dog,72,instock,12 kg,155,155,1,1,OK
12532,01M0211020,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12533,01M0301020,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12534,01M0311020,0,simple,dog,72,instock,12 kg,151,151,1,1,OK
12536,01M0400022,0,simple,dog,72,instock,"2,5 kg",150,150,1,1,OK
12538,01M0400102,0,simple,dog,72,instock,"2,5 kg",64,64,1,1,OK
12540,01M0400202,0,simple,dog,72,instock,"2,5 kg",75,75,1,1,OK
12541,01M0400203,0,simple,dog,72,instock,"7,5 kg",75,75,1,1,OK
12543,01M0400302,0,simple,dog,72,instock,"2,5 kg",75,75,1,1,OK
12544,01M0400303,0,simple,dog,72,instock,"7,5 kg",75,75,1,1,OK
12546,01M0401102,0,simple,dog,72,instock,"2,5 kg",76,76,1,1,OK
12547,01M0401103,0,simple,dog,72,instock,12 kg,76,76,1,1,OK
12549,01M0401202,0,simple,dog,72,instock,"2,5 kg",76,76,1,1,OK
12550,01M0401203,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12551,01M041101,0,simple,dog,72,instock,"2,5 kg",,,0,0,NO_ACTIVE_VERIFIED
12552,01M0411020,0,simple,dog,72,instock,12 kg,74,74,1,1,OK
12553,01M041201,0,simple,dog,72,instock,"2,5 kg",73,73,1,1,OK
12554,01M0412020,0,simple,dog,72,instock,12 kg,73,73,1,1,OK
12555,01M041301,0,simple,dog,72,outofstock,"2,5 kg",,,0,0,NO_ACTIVE_VERIFIED
12556,01M0413020,0,simple,dog,72,instock,12 kg,147,147,1,1,OK
12557,01M041401,0,simple,dog,72,instock,"2,5 kg",127,127,1,1,OK
12558,01M041402,0,simple,dog,72,instock,12 kg,127,127,1,1,OK
12559,01M041501,0,simple,dog,72,instock,"2,5 kg",148,148,1,1,OK
12560,01M041502,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12561,01M041601,0,simple,dog,72,instock,"2,5 kg",149,149,1,1,OK
12562,01M041602,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12563,01M041701,0,simple,dog,72,instock,"2,5 kg",71,71,1,1,OK
12564,01M041702,0,simple,dog,72,instock,12 kg,71,71,1,1,OK
12565,01M041801,0,simple,dog,72,instock,"2,5 kg",72,72,1,1,OK
12566,01M041802,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12567,01M042001,0,simple,dog,72,instock,"2,5 kg",146,146,1,1,OK
12568,01M042002,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12569,01M050101,0,simple,dog,72,outofstock,"2,5 kg",,,0,0,NO_ACTIVE_VERIFIED
12570,01M051201,0,simple,dog,72,instock,"2,5 kg",145,145,1,1,OK
12571,01M060101,0,simple,dog,72,instock,"2,5 kg",133,,0,1,NO_ACTIVE_VERIFIED
12572,01M061001,0,simple,dog,72,instock,"2,5 kg",66,66,1,1,OK
12573,01M061201,0,simple,dog,72,instock,"2,5 kg",69,69,1,1,OK
12574,01M061301,0,simple,dog,72,instock,"2,5 kg",139,139,1,1,OK
12576,01M110102,0,simple,cat,81,instock,15 kg,128,,0,1,NO_ACTIVE_VERIFIED
12580,01M131102,0,simple,cat,81,instock,15 kg,144,144,1,1,OK
12581,01M171102,0,simple,cat,81,instock,15 kg,70,70,1,1,OK
12582,01M181102,0,simple,cat,81,instock,15 kg,67,67,1,1,OK
12583,01M182102,0,simple,cat,81,instock,15 kg,68,68,1,1,OK
12584,01M191111,0,simple,cat,81,instock,15 kg,142,142,1,1,OK
12586,01M201202,0,simple,cat,81,instock,15 kg,143,143,1,1,OK
12636,01M412102,0,simple,dog,72,instock,3 kg,206,206,1,1,OK
12659,01MB131101,0,simple,cat,81,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12660,01MB141101,0,simple,cat,81,instock,10 kg,142,142,1,1,OK
12661,01MB151101,0,simple,cat,81,instock,10 kg,141,141,1,1,OK
12662,01MB181101,0,simple,cat,81,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12663,01MB191101,0,simple,cat,81,instock,10 kg,140,140,1,1,OK
12664,01MB201101,0,simple,cat,81,outofstock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12666,01MB400101,0,simple,dog,72,instock,20 kg,,,0,0,NO_ACTIVE_VERIFIED
12667,01MB411101,0,simple,dog,72,instock,20 kg,205,205,1,1,OK
12668,01MB412101,0,simple,dog,72,instock,20 kg,206,206,1,1,OK
12669,01MB421101,0,simple,dog,72,instock,20 kg,204,204,1,1,OK
12670,01MB421201,0,simple,dog,72,instock,20 kg,203,203,1,1,OK
12671,01MB421301,0,simple,dog,72,instock,20 kg,202,202,1,1,OK
12672,01MB431101,0,simple,dog,72,instock,20 kg,201,201,1,1,OK
12673,01MB510101,0,simple,cat,81,instock,20 kg,209,209,1,1,OK
12674,01MB511101,0,simple,cat,81,instock,20 kg,207,207,1,1,OK
12675,01MB511201,0,simple,cat,81,instock,20 kg,,,0,0,NO_ACTIVE_VERIFIED
12676,01MB511301,0,simple,cat,81,instock,20 kg,,,0,0,NO_ACTIVE_VERIFIED
12679,01MVC002,0,simple,cat,81,instock,15 kg,,,0,0,NO_ACTIVE_VERIFIED
12681,01MVC102,0,simple,cat,81,instock,"1,5 kg",,,0,0,NO_ACTIVE_VERIFIED
12683,01MVC302,0,simple,cat,81,instock,"1,5 kg",,,0,0,NO_ACTIVE_VERIFIED
12685,01MVC402,0,simple,cat,81,instock,15 kg,,,0,0,NO_ACTIVE_VERIFIED
12687,01MVC602,0,simple,cat,81,instock,15 kg,,,0,0,NO_ACTIVE_VERIFIED
12689,01MVC702,0,simple,cat,81,instock,15 kg,,,0,0,NO_ACTIVE_VERIFIED
12691,01MVC802,0,simple,cat,81,instock,"1,5 kg",,,0,0,NO_ACTIVE_VERIFIED
12693,01MVC902,0,simple,cat,81,instock,"1,5 kg",,,0,0,NO_ACTIVE_VERIFIED
12694,01MVD001,0,simple,dog,72,instock,2 kg,,,0,0,NO_ACTIVE_VERIFIED
12695,01MVD002,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12696,01MVD101,0,simple,dog,72,instock,2 kg,,,0,0,NO_ACTIVE_VERIFIED
12697,01MVD102,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12698,01MVD202,0,simple,dog,72,instock,5 kg,,,0,0,NO_ACTIVE_VERIFIED
12699,01MVD301,0,simple,dog,72,instock,2 kg,,,0,0,NO_ACTIVE_VERIFIED
12700,01MVD302,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12701,01MVD401,0,simple,dog,72,instock,2 kg,,,0,0,NO_ACTIVE_VERIFIED
12702,01MVD402,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12703,01MVD501,0,simple,dog,72,instock,2 kg,,,0,0,NO_ACTIVE_VERIFIED
12706,01MVD602,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12707,01MVD701,0,simple,dog,72,instock,2 kg,,,0,0,NO_ACTIVE_VERIFIED
12708,01MVD702,0,simple,dog,72,instock,12 kg,,,0,0,NO_ACTIVE_VERIFIED
12718,01O69509710,0,simple,dog,72,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12719,01O702703,0,simple,dog,72,instock,15 kg,,,0,0,NO_ACTIVE_VERIFIED
12720,01O702700,0,simple,dog,72,instock,20 kg,,,0,0,NO_ACTIVE_VERIFIED
12721,01O702705,0,simple,dog,72,instock,"7,5 kg",,,0,0,NO_ACTIVE_VERIFIED
12828,01O702701,0,simple,dog,72,instock,15 kg,,,0,0,NO_ACTIVE_VERIFIED
12829,01MB231101,0,simple,cat,81,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12830,01M061302,0,simple,dog,72,instock,12 kg,139,139,1,1,OK
12837,01M201502,0,simple,cat,81,instock,15 kg,138,,0,1,NO_ACTIVE_VERIFIED
12842,01M061203,0,simple,dog,72,instock,12 kg,69,69,1,1,OK
12859,01M061002,0,simple,dog,72,instock,12 kg,66,66,1,1,OK
12915,01A1H0215,0,simple,dog,72,instock,18 kg,105,105,1,1,OK
12916,01M041901,0,simple,dog,72,instock,"2,5 kg",65,65,1,1,OK
12928,01A1C01032,0,simple,dog,72,instock,12 kg,136,136,1,1,OK
12930,01A1C03032,0,simple,dog,72,instock,12 kg,137,137,1,1,OK
12932,01OKA0111,0,simple,cat,81,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12933,01OKA0256,0,simple,cat,81,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12985,01MVD2011,0,simple,dog,72,instock,"1,5 kg",,,0,0,NO_ACTIVE_VERIFIED
12992,01OSU0067N,0,simple,dog,72,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
12993,01M183102,0,simple,cat,81,instock,"1,5 kg",135,135,1,1,OK
13009,01OSU0070N,0,simple,dog,72,instock,10 kg,,,0,0,NO_ACTIVE_VERIFIED
13019,01A1E09032,0,simple,dog,72,instock,2 kg,134,134,1,1,OK
