slug,link,count
"akcijiniai-pasiulymai","/kategorija/pasiulymai/akcijiniai-pasiulymai/",0
"aksesuarai-pauksciams","/kategorija/pauksciams/aksesuarai-pauksciams/",2
"akvariumo-zuvyciu-maistas","/kategorija/zuvims/akvariumo-zuvyciu-maistas/",36
"akvariumai-iranga","/kategorija/zuvims/akvariumai-iranga/",6
"animonda-konservai-sunims","/kategorija/animonda-konservai-sunims/",36
"antiparazitines-priemones-katems","/kategorija/katems/antiparazitines-priemones-katems/",5
"antiparazitines-priemones-sunims","/kategorija/sunims/antiparazitines-priemones-sunims/",8
"antkakliai-ir-petnesos-katems","/kategorija/katems/antkakliai-ir-petnesos-katems/",9
"antkakliai-pavadeliai-sunims","/kategorija/sunims/antkakliai-pavadeliai-sunims/",211
"apranga-sunims","/kategorija/sunims/apranga-sunims/",39
"baseinai-sunims","/kategorija/sunims/baseinai-sunims/",1
"daugiau-pigiau","/kategorija/daugiau-pigiau/",9
"dovanos","/kategorija/dovanos/",4
"draskykles-katems","/kategorija/katems/draskykles-katems/",45
"dubeneliai-katems","/kategorija/katems/dubeneliai-katems/",35
"dubeneliai-sunims","/kategorija/sunims/dubeneliai-sunims/",54
"dp-grauzikams","/kategorija/daugiau-pigiau/dp-grauzikams/",0
"grauzikams","/kategorija/grauzikams/",61
"guoliai-katems","/kategorija/katems/guoliai-katems/",13
"guoliai-boksai-sunims","/kategorija/sunims/guoliai-boksai-sunims/",43
"higienos-priemones-sunims","/kategorija/sunims/higienos-priemones-sunims/",44
"hipoalerginis-maistas-sunims","/kategorija/hipoalerginis-maistas-sunims/",33
"jautrus-virskinimas","/kategorija/sprendimai/jautrus-virskinimas/",0
"dp-katems","/kategorija/daugiau-pigiau/dp-katems/",0
"katems","/kategorija/katems/",891
"kelioniu-iranga","/kategorija/sunims/kelioniu-iranga/",20
"kita-grauzikams","/kategorija/grauzikams/kita-grauzikams/",0
"kita-pauksciams","/kategorija/pauksciams/kita-pauksciams/",0
"kita-sunims","/kategorija/sunims/kita-sunims/",0
"kita","/kategorija/kita/",0
"uncategorized","/kategorija/uncategorized/",12
"kitos-prekes-zalios-bangos","/kategorija/kitos-prekes-zalios-bangos/",0
"konservai-katems","/kategorija/katems/maistas-katems/konservai-katems/",146
"konservai-sunims","/kategorija/sunims/maistas-sunims/konservai-sunims/",128
"konservu-rinkiniai","/kategorija/rinkiniai/konservu-rinkiniai/",5
"kraikai-kaciu-tualetams","/kategorija/katems/kraikai-kaciu-tualetams/",89
"kraikas-ir-sienas-grauzikams","/kategorija/grauzikams/kraikas-ir-sienas-grauzikams/",4
"kramtalu-rinkiniai","/kategorija/rinkiniai/kramtalu-rinkiniai/",3
"lesalas-pauksciams","/kategorija/pauksciams/lesalas-pauksciams/",11
"maistas-katems","/kategorija/katems/maistas-katems/",353
"maistas-sunims","/kategorija/sunims/maistas-sunims/",644
"miamor-katems","/kategorija/miamor-katems/",29
"narvai","/kategorija/sunims/narvai/",7
"narvai-grauzikams","/kategorija/grauzikams/narvai-grauzikams/",15
"naujas-kaciukas","/kategorija/sprendimai/naujas-kaciukas/",0
"naujas-suniukas","/kategorija/sprendimai/naujas-suniukas/",0
"pasaras-grauzikams","/kategorija/grauzikams/pasaras-grauzikams/",20
"pasiulymai","/kategorija/pasiulymai/",0
"dp-pauksciams","/kategorija/daugiau-pigiau/dp-pauksciams/",0
"pauksciams","/kategorija/pauksciams/",16
"pirmoji-pagalba-sunims","/kategorija/sunims/pirmoji-pagalba-sunims/",2
"prieziuros-priemones-katems","/kategorija/katems/prieziuros-priemones-katems/",25
"rinkiniai","/kategorija/rinkiniai/",12
"sampunai-sunims","/kategorija/sunims/sampunai-sunims/",42
"sausas-maistas-katems","/kategorija/katems/maistas-katems/sausas-maistas-katems/",206
"sausas-maistas-sunims","/kategorija/sunims/maistas-sunims/sausas-maistas-sunims/",516
"skanestai-grauzikams","/kategorija/grauzikams/skanestai-grauzikams/",22
"skanestai-katems","/kategorija/katems/skanestai-katems/",88
"skanestai-pauksciams","/kategorija/pauksciams/skanestai-pauksciams/",3
"skanestai-sunims","/kategorija/sunims/skanestai-sunims/",274
"skanestu-rinkiniai","/kategorija/rinkiniai/skanestu-rinkiniai/",4
"sprendimai","/kategorija/sprendimai/",0
