id	slug	name	pak	dpq
34510	ruda-kiaules-ausis-1-vnt-x-20-vnt	Ruda kiaulės ausis, 1 vnt. × 20 vnt.	[]	20
34486	animonda-grancarno-adult-beef-duck-hearts-konservai-suaugusiems-sunims-su-jautiena-ir-anciu-sirdelemis-400-g-x-6-vnt	Animonda GranCarno Adult Beef + Duck Hearts: konservai suaugusiems šunims su jau	[]	6
34484	exclusion-hypoallergenic-mazu-veisliu-sunu-maistas-su-kiauliena-ir-zirneliais-7-kg-x-2-vnt	Exclusion Hypoallergenic mažų veislių šunų maistas su kiauliena ir žirneliais 7 	[]	2
34471	exclusion-hypoallergenic-mazu-veisliu-sunu-maistas-su-kiauliena-ir-zirneliais-2-kg-x-2-vnt	Exclusion Hypoallergenic mažų veislių šunų maistas su kiauliena ir žirneliais, 2	[]	2
23904	expertus-silikoninis-kraikas-katems-10l	Expertus silikoninis kraikas katėms, 10L	[]	
23502	bazyl-ekonomik-bentonitinis-kraikas-katems	Bazyl Ekonomik bentonitinis kraikas katėms	[]	
22877	8in1-sukos-sunims-l	8in1 Šukos šunims L	[]	
14031	trixie-apsaugine-apykakle-poliesteris-putplastis-s-30-34-cm-19-5-cm-pilka	Trixie Apsauginė apykaklė, poliesteris/putplastis, S: 30-34 cm/19.5 cm, pilka	["S"]	
19902	duvoplius-zaislas-suniui-pliusinis-melynasis-banginis-27x8x7cm	"DuvoPlius" žaislas šuniui - pliušinis mėlynasis banginis, 27x8x7cm	[]	
19875	24-vnt-miamor-super-premium-konservai-katems-su-tunu-ir-putpeliu-kiausiniais-100-g	24 vnt. Miamor Super Premium konservai katėms su tunu ir putpelių kiaušiniais, 1	[]	
19869	24-vnt-miamor-super-premium-konservai-katems-su-vistiena-ir-ryziais-100-g	24 vnt. Miamor Super Premium konservai katėms su vištiena ir ryžiais, 100 g	[]	
19866	24-vnt-miamor-super-premium-konservai-katems-su-tunu-ir-krevetemis-100-g	24 vnt. Miamor Super premium konservai katėms su tunu ir krevetėmis, 100 g	[]	
19692	animonda-carny-adult-beef-heart-konservai-katems-su-sviezia-jautiena-ir-sirdimis-400-g	Animonda Carny Adult Beef + Heart – konservai katėms su šviežia jautiena ir šird	["400 g"]	
19570	animonda-grancarno-adult-beef-konservai-sunims-su-sviezia-jautiena-800-g	Animonda GranCarno Adult Beef: konservai šunims su šviežia jautiena, 800 g	["800 g"]	
19393	animonda-vom-feinsten-adult-with-turkey-and-lamb-konservai-suaugusiems-sunims-su-kalakutiena-ir-eriena-150-g	Animonda Vom Feinsten Adult with Turkey and Lamb – konservai suaugusiems šunims 	["150 g"]	
19134	automatine-serykla-girdykla-gyvunui-eat-and-drink-37-l	Automatinė šėrykla/girdykla gyvūnui (Eat and Drink), 3,7 l	[]	
19089	baltos-triusio-ausys	Baltos triušio ausys	[]	
18674	dubenelis-keraminis-1000-ml	Dubenėlis keraminis, 1000 ml	[]	
18372	gerimas-katems-miamor-trinkfein-vitaldrink-su-antiena-135-ml	Gėrimas katėms - Miamor Trinkfein Vitaldrink su antiena, 135 ml	[]	
18221	hikari-saki-growth-5-kg-hikari-maistas-koi-karpiams-ir-kitoms-tvenkiniu-zuvims	Hikari Saki Growth, 5 kg, Hikari maistas koi karpiams ir kitoms tvenkinių žuvims	["5 kg"]	
18131	jaucio-peniai-pjaustyti-125-cm-10-vnt	Jaučio peniai pjaustyti, 12,5 cm, 10 vnt.	["10-15 cm"]	
17723	kraikas-katems-family-cat-augalinis-6-l-vegetable-cat-litter	Kraikas katėms Family Cat, augalinis, 6 l, Vegetable Cat Litter	[]	
17657	kraikas-katems-is-augalinio-pluosto-biokats-eco-light-susokantis-5-litrai	Kraikas katėms iš augalinio pluošto Biokat's Eco Light, sušokantis, 5 litrai	[]	
17574	liucernos-riestainiai-grauzikams-300-g-ziarnko	Liucernos riestainiai graužikams, 300 g, Ziarnko	[]	
17446	mini-ryziu-kauliukai-su-antiena-500-g	Mini ryžių kauliukai su antiena, 500 g	["500 g"]	
17440	minksta-gumine-pirstine-gyvuno-kailiui-sukuoti-ir-masazuoti-trixie-2	Minkšta guminė pirštinė gyvūno kailiui šukuoti ir masažuoti, Trixie	[]	
17386	naturalios-triusio-ausys-su-kailiuku-100-g	Natūralios triušio ausys su kailiuku, 100 g	["100 g"]	
17305	negriunantis-besisypsantis-kiausinis	Negriūnantis besišypsantis kiaušinis	[]	
16959	papildas-gyvunams-bioveterinary-extra-strong-28-pok	Papildas gyvūnams Bioveterinary Extra Strong, 28 pok.	[]	
16528	royal-canin-giant-adult-15-kg-sausas-maistas-suagusiems-itin-dideliu-veisliu-sunims	ROYAL CANIN GIANT ADULT 15 KG - sausas maistas suagusiems itin didelių veislių š	["15 kg"]	
16311	ruda-jaucio-ausis-1-vnt	Ruda jaučio ausis, 1 vnt.	["1 vnt"]	
16189	semtuvelis-ekskrementams-pick-up-su-5-maiseliais	Semtuvėlis ekskrementams Pick up su 5 maišeliais	[]	
