id,slug,sku,name
34512,"ruda-avies-koja-1-vnt-x-20-vnt","DP-710002-20","Ruda avies koja, 1 vnt. × 20 vnt."
34510,"ruda-kiaules-ausis-1-vnt-x-20-vnt","DP-338000-20","Ruda kiaulės ausis, 1 vnt. × 20 vnt."
34500,"animonda-carny-adult-beef-turkey-shrimp-konservai-katems-su-sviezia-jautiena-kalakutiena-ir-krevetemis-400-g-x-6-vnt","DP-83724-6","Animonda Carny Adult Beef + Turkey + Shrimp – konservai katėms su šviežia jautiena, kalakutiena ir krevetėmis, 400 g × 6 vnt."
34498,"exclusion-mediterraneo-mono-protein-konservuotas-pasaras-katems-su-tunu-85-g-x-10-vnt","DP-NGCATW85-10","Exclusion Mediterraneo Mono Protein konservuotas pašaras katėms su tunu, 85 g × 10 vnt."
34488,"animonda-vom-feinsten-adult-with-poultry-and-veal-konservai-katems-su-paukstiena-ir-versiena-100-g-x-16-vnt","DP-83437-16","Animonda Vom Feinsten Adult with Poultry and Veal – konservai katėms su paukštiena ir veršiena, 100 g × 16 vnt."
34486,"animonda-grancarno-adult-beef-duck-hearts-konservai-suaugusiems-sunims-su-jautiena-ir-anciu-sirdelemis-400-g-x-6-vnt","DP-82746-6","Animonda GranCarno Adult Beef + Duck Hearts: konservai suaugusiems šunims su jautiena ir ančių širdelėmis, 400 g × 6 vnt."
34484,"exclusion-hypoallergenic-mazu-veisliu-sunu-maistas-su-kiauliena-ir-zirneliais-7-kg-x-2-vnt","DP-HYPS06-2","Exclusion Hypoallergenic mažų veislių šunų maistas su kiauliena ir žirneliais 7 kg × 2 vnt."
34471,"exclusion-hypoallergenic-mazu-veisliu-sunu-maistas-su-kiauliena-ir-zirneliais-2-kg-x-2-vnt","DP-EXCL-HYPO-KIAUL-2KG-x2","Exclusion Hypoallergenic mažų veislių šunų maistas su kiauliena ir žirneliais, 2 kg × 2 vnt."
34449,"miamor-konservai-katems-su-tunu-ir-krevetemis-100-g-x-24-vnt","DP-MIAMOR-TUNAS-KREV-24","Miamor konservai katėms su tunu ir krevetėmis, 100 g × 24 vnt."
34245,"susidek-skanestu-rinkini-katei-%c2%b7-10-vnt-pasleptas","CAT-CHOICE-SKANESTAI-TEST-mix-std-10","Susidėk skanėstų rinkinį katei · 10 vnt (paslėptas)"
34244,"susidek-skanestu-rinkini-katei-%c2%b7-7-vnt-pasleptas","CAT-CHOICE-SKANESTAI-TEST-mix-std-7","Susidėk skanėstų rinkinį katei · 7 vnt (paslėptas)"
34243,"susidek-skanestu-rinkini-katei-%c2%b7-5-vnt-pasleptas","CAT-CHOICE-SKANESTAI-TEST-mix-std-5","Susidėk skanėstų rinkinį katei · 5 vnt (paslėptas)"
34242,"susidek-skanestu-rinkini-katei-testas","CAT-CHOICE-SKANESTAI-TEST","Susidėk skanėstų rinkinį katei (TESTAS)"
34241,"susidek-kramtalu-rinkini-%c2%b7-dideliam-suniui-%c2%b7-7-vnt-pasleptas","DOG-CHOICE-KRAMTALAI-TEST-didelis-std-7","Susidėk kramtalų rinkinį · Dideliam šuniui · 7 vnt (paslėptas)"
