id	slug	name	pak
34471	exclusion-hypoallergenic-mazu-veisliu-sunu-maistas-su-kiauliena-ir-zirneliais-2-kg-x-2-vnt	Exclusion Hypoallergenic mažų veislių šunų maistas su kiauliena ir žirneliais, 2	[]
26512	transporteris-zalias-s-doggy	Transporteris žalias S Doggy	["S"]
26093	churu-kreminis-skanestas-sunims-su-lasisa-n4	Churu kreminis skanėstas šunims su lašiša N4	[]
23831	truly-skanestas-sunims-kauliukai-su-vistiena-85-g	Truly skanėstas šunims, kauliukai su vištiena, 85 g	["85 g"]
23452	nerudijantis-stovas-su-dubeneliais-gyvunams-2	Nerūdijantis stovas su dubenėliais gyvūnams	[]
22765	josidog-game-in-sauce-konservai-sunims-zveriena-padaze-415g	JosiDog Game in Sauce konservai šunims, žvėriena padaže, 415g	["415 g"]
21599	churu-kreminis-skanestas-kaciukams-su-vistiena-4vnt	Churu kreminis skanėstas kačiukams su vištiena, 4vnt	["2-5 vnt"]
12564	monge-hypoallergenic-adult-sausas-pasaras-suaugusiems-sunims-su-lasisa-ir-tunu-12kg	Monge Hypoallergenic adult sausas pašaras suaugusiems šunims su lašiša ir tunu 1	["12 kg"]
12486	family-dog-hays-visavertis-sausas-pasaras-su-triusiena15kg	Family Dog HAYS visavertis sausas pašaras su triušiena15kg	["15 kg"]
19902	duvoplius-zaislas-suniui-pliusinis-melynasis-banginis-27x8x7cm	"DuvoPlius" žaislas šuniui - pliušinis mėlynasis banginis, 27x8x7cm	[]
19570	animonda-grancarno-adult-beef-konservai-sunims-su-sviezia-jautiena-800-g	Animonda GranCarno Adult Beef: konservai šunims su šviežia jautiena, 800 g	["800 g"]
19393	animonda-vom-feinsten-adult-with-turkey-and-lamb-konservai-suaugusiems-sunims-su-kalakutiena-ir-eriena-150-g	Animonda Vom Feinsten Adult with Turkey and Lamb – konservai suaugusiems šunims 	["150 g"]
19306	antienos-file-apvynioti-dziovintos-odos-pagaliukai-500-g-haumiau	Antienos filė apvynioti džiovintos odos pagaliukai, 500 g, Hau&Miau	["500 g"]
19297	antienos-file-juosteles-500-g-naturalus-skanestai-sunims-haumiau	Antienos filė juostelės, 500 g, natūralūs skanėstai šunims, Hau&Miau	["500 g"]
19290	antienos-griezineliai-500-g-naturalus-skanestai-sunims-haumiau	Antienos griežinėliai, 500 g, natūralūs skanėstai šunims, Hau&Miau	["500 g"]
19095	balta-kiaules-knysle-1-vnt	Balta kiaulės knyslė, 1 vnt.	["1 vnt"]
19089	baltos-triusio-ausys	Baltos triušio ausys	[]
18919	deli-nature-premium-pasaras-grauzikams-15-kg	Deli Nature Premium pašaras graužikams, 15 kg	[]
18745	dubenelis-gyvunui-sirdele-dvigubas-mon-amor-double	Dubenėlis gyvūnui Širdelė dvigubas, Mon Amor double	[]
18715	dubenelis-katei-keraminis-320-ml	Dubenėlis katei keraminis, 320 ml	[]
18320	hikari-blood-red-parrot-medium-333-g	Hikari Blood-Red Parrot Medium, 333 g	["333 g"]
18302	hikari-cichlid-excel-mini-sinking-342-g	Hikari Cichlid Excel Mini Sinking, 342 g	["342 g"]
18221	hikari-saki-growth-5-kg-hikari-maistas-koi-karpiams-ir-kitoms-tvenkiniu-zuvims	Hikari Saki Growth, 5 kg, Hikari maistas koi karpiams ir kitoms tvenkinių žuvims	["5 kg"]
18181	hikari-tropical-mini-algae-wafers-1-kg-pasaras-dugninems-zuvelems	Hikari Tropical Mini Algae Wafers, 1 kg - pašaras dugninėms žuvelėms	["1 kg"]
18109	josera-catelux-10-kg-sausas-maistas-katems-nuo-plauku-gumuliuku	Josera Catelux 10 kg - sausas maistas katėms nuo plaukų gumuliukų	["10 kg"]
18106	josera-catelux-2-kg-sausas-maistas-katems-nuo-plauku-gumuliuku	Josera Catelux 2 kg - sausas maistas katėms nuo plaukų gumuliukų	["2 kg"]
18101	josera-culinesse-10-kg-sausas-maistas-katems-su-lasisa	Josera Culinesse 10 kg - sausas maistas katėms su lašiša	["10 kg"]
18098	josera-culinesse-2-kg-sausas-maistas-katems-su-lasisa	Josera Culinesse 2 kg - sausas maistas katėms su lašiša	["2 kg"]
18092	josera-dailycat-2-kg-begrudis-sausas-maistas-katems	Josera DailyCat 2 kg - begrūdis sausas maistas katėms	["2 kg"]
18040	josera-marinesse-2-kg-sausas-maistas-katems-su-lasisa	Josera Marinesse 2 kg - sausas maistas katėms su lašiša	["2 kg"]
17296	ontario-adult-large-chicken-and-sweet-potatoes-12-kg-pasaras-suaugusiems-sunims-su-vistiena-ir-saldziosiomis-bulvemis	Ontario Adult Large Chicken and Sweet Potatoes, 12 kg, pašaras suaugusiems šunim	["12 kg"]
16785	prins-procare-protection-puppy-sausas-maistas-suniukams-ir-jauniems-sunims-75-kg	Prins ProCare Protection Puppy sausas maistas šuniukams ir jauniems šunims 7,5 k	["7,5 kg"]
16528	royal-canin-giant-adult-15-kg-sausas-maistas-suagusiems-itin-dideliu-veisliu-sunims	ROYAL CANIN GIANT ADULT 15 KG - sausas maistas suagusiems itin didelių veislių š	["15 kg"]
16189	semtuvelis-ekskrementams-pick-up-su-5-maiseliais	Semtuvėlis ekskrementams Pick up su 5 maišeliais	[]
16054	skanestai-sunims-triusienos-juosteles-200-g	Skanėstai šunims – triušienos juostelės, 200 g	["200 g"]
16020	super-benek-konservai-katems-urinary-100-g-professional-line	Super Benek konservai katėms Urinary, 100 g, Professional Line	["100 g"]
